name,P,C,G,N,I,I3,J,Mass,Nk,Ik,I3k,Jk,Mk,u,ubar,d,dbar,s,sbar,c,cbar,b,bbar,width_mev,split
K_2(1580)0,0,2,2,1.17057129242954,0.5,-0.5,2,1.58,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,110.000000022834,train
K_2(1770)+,0,2,2,1.31357737788889,0.5,0.5,2,1.773025078,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,186.132617506849,train
K_2(1770)0,0,2,2,1.31357737788889,0.5,-0.5,2,1.773025078,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,186.132617506849,train
K_2(1820)+,0,2,2,1.34775002713799,0.5,0.5,2,1.819150236,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,264.168723982666,train
K_2(1820)-,0,2,2,1.34775002713799,0.5,-0.5,2,1.819150236,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,264.168723982666,train
K_2(1820)0,0,2,2,1.34775002713799,0.5,-0.5,2,1.819150236,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,264.168723982666,train
K_2(2250)+,0,2,2,1.66437814274314,0.5,0.5,2,2.246524823,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,180.000000019762,train
K_2(2250)-,0,2,2,1.66437814274314,0.5,-0.5,2,2.246524823,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,180.000000019762,train
K_2(2250)0,0,2,2,1.66437814274314,0.5,-0.5,2,2.246524823,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,180.000000019762,train
K_2^*(1430)-,1,2,2,1.05740491323444,0.5,-0.5,2,1.427251611,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,100.036126625285,train
K_2^*(1430)0,1,2,2,1.05740491323444,0.5,-0.5,2,1.427251611,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,100.036126625285,train
K_2^*(1980)+,1,2,2,1.47763276449199,0.5,0.5,2,1.994461835,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,348.033803308135,train
K_2^*(1980)-,1,2,2,1.47763276449199,0.5,-0.5,2,1.994461835,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,348.033803308135,train
K_2^*(1980)0,1,2,2,1.47763276449199,0.5,-0.5,2,1.994461835,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,348.033803308135,train
K_3(2320)+,1,2,2,1.72148066777803,0.5,0.5,3,2.3236,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,149.999999985562,train
K_3(2320)0,1,2,2,1.72148066777803,0.5,-0.5,3,2.3236,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,149.999999985562,train
K_3^*(1780)+,0,2,2,1.31796547848939,0.5,0.5,3,1.778947997,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,161.231793052726,train
K_3^*(1780)-,0,2,2,1.31796547848939,0.5,-0.5,3,1.778947997,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,161.231793052726,train
K_3^*(1780)0,0,2,2,1.31796547848939,0.5,-0.5,3,1.778947997,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,161.231793052726,train
K_4(2500)+,0,2,2,1.84476108743643,0.5,0.5,4,2.49,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,250.000000034438,train
K_4(2500)-,0,2,2,1.84476108743643,0.5,-0.5,4,2.49,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,250.000000034438,train
K_4(2500)0,0,2,2,1.84476108743643,0.5,-0.5,4,2.49,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,250.000000034438,train
K_4^*(2045)+,1,2,2,1.51748083530308,0.5,0.5,4,2.048247497,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,199.363460401478,train
K_4^*(2045)-,1,2,2,1.51748083530308,0.5,-0.5,4,2.048247497,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,199.363460401478,train
K_4^*(2045)0,1,2,2,1.51748083530308,0.5,-0.5,4,2.048247497,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,199.363460401478,train
K_5^*(2380)+,0,2,2,1.76474735352352,0.5,0.5,5,2.382,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,177.999999948009,train
K_5^*(2380)-,0,2,2,1.76474735352352,0.5,-0.5,5,2.382,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,177.999999948009,train
K_5^*(2380)0,0,2,2,1.76474735352352,0.5,-0.5,5,2.382,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,177.999999948009,train
Kbar(1460)0,0,2,2,1.09826258474529,0.5,0.5,0,1.4824,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,335.600000136572,train
Kbar(1630)0,2,2,2,1.20687381985299,0.5,0.5,-222,1.629,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,15.9999999961635,train
